year|arid|count
2004|30000002315|22
2004|10000005203|22
2004|30000018389|22
2004|731-1480758|22
2004|20002837059|22
2004|71370600001|22
2004|30000006158|22
2004|30000008663|22
2004|30000027510|21
2004|20002598088|21
2004|30000001380|21
2004|50000008667|21
2004|20001847369|21
2004|138-1620418|21
2004|30000020115|21
2004|30000008232|21
2004|20001844265|20
2004|71596200005|20
2004|787-0697287|20
2004|71067300004|20
2004|71403800009|20
2004|30000005685|20
2004|10000012467|20
2004|30000010307|20
2004|30000000876|19
2004|733-0806023|19
2004|30000019744|19
2004|30000021498|19
2004|313-3432069|19
2004|71108800004|19
2004|20001445943|19
2004|772-1394881|18
2004|20001845002|18
2004|50000007091|18
2004|794-2479776|18
2004|30000019657|18
2004|77197000003|18
2004|71788100000|18
2004|358-2598615|18
2004|50000007544|18
2004|30000017953|18
2004|10000023892|18
2004|30000000324|18
2004|30000012606|18
2004|30000019541|17
2004|10000014294|17
2004|30000012441|17
2004|10000015642|17
2004|71095600009|17
2004|765-0938671|17
2004|77442300004|17
2004|20001017658|17
2004|30000012614|17
2004|20001845011|17
2004|71770800008|16
2004|30000015519|16
2004|10000017694|16
2004|77233200004|16
2004|30000035241|16
2004|30000022537|16
2004|758-2598326|16
2004|30000010303|15
2004|20000104038|15
2004|30000020100|15
2004|71744200003|15
2004|30000034186|15
2004|77621700002|15
2004|30000024957|14
2004|40000013964|14
2004|40000008876|14
2004|30000004219|14
2004|10000017100|14
2004|30000034794|14
2004|30000009320|14
2004|30000002247|14
2004|10000000008|14
2004|50000004702|14
2004|77597300000|14
2004|72134800006|14
2004|741-1810165|13
2004|71057300006|13
2004|71033500006|13
2004|50000068021|13
2004|71256700000|13
2004|77177900003|13
2004|71609800004|13
2004|71056800004|13
2004|30000017629|13
2004|40000004072|13
2004|20001844283|13
2004|30000011507|13
2004|50000066642|13
2004|40000015642|13
2004|30000008798|13
2004|30000011423|13
2004|20000028349|13
2004|30000011448|12
2004|73919409997|12
2004|77479800008|12
2004|77863200000|12
2004|20002861595|12
2004|71476100009|12
2004|30000015673|12
2004|76443809990|12
2004|20000497039|12
2004|20001010930|12
2004|20002041418|12
2004|30000017543|11
2004|30000001373|11
2004|71152600000|11
2004|40000007547|11
2004|30000008141|11
2004|10000013998|11
2004|30000017041|11
2004|71172100002|11
2004|71392000005|11
2004|20001072246|11
