concat|loan_count|high_price_count|year
77196900005|209|0|2004
77692500004|104|0|2004
77479600006|310|0|2004
184-1106939|976|0|2004
71474600000|1707|0|2004
156-0811711|2910|0|2004
77055000004|574|0|2004
10000000024|4250|0|2004
592-0160040|156|0|2004
30000026955|107|0|2004
40000004410|374|0|2004
77851800005|328|0|2004
40000008083|1005|0|2004
30000025103|147|0|2004
20001644643|24906|0|2004
77688900008|204|0|2004
73842009994|1397|0|2004
116-1245395|1250|0|2004
77471200001|202|0|2004
77015500006|456|0|2004
77166300005|123|0|2004
75140809993|614|0|2004
77398800004|193|0|2004
40000006809|1164|0|2004
71172100002|128|0|2004
40000006069|187|0|2004
40000000450|128|0|2004
375-2257846|119|0|2004
30000009846|799|0|2004
73804009998|128|0|2004
71392000005|162|0|2004
71426000007|229|0|2004
71725000001|282|0|2004
40000016263|133|0|2004
77184500000|1014|0|2004
71270809992|259|0|2004
30000016191|176|0|2004
40000008475|308|0|2004
77516800003|247|0|2004
20001079544|1486|0|2004
72181809990|167|0|2004
77901500005|112|0|2004
30000031469|309|0|2004
77952900006|1426|0|2004
77307600002|148|0|2004
77438500006|113|0|2004
40000008337|500|0|2004
77868600006|404|0|2004
71756900000|1506|0|2004
70471809999|250|0|2004
116-1146859|568|0|2004
71461400001|253|0|2004
77395000008|223|0|2004
77083400004|287|0|2004
70955809996|244|0|2004
10000023748|194|0|2004
71152600000|101|0|2004
20003340967|1877|0|2004
40000006432|227|0|2004
30000005633|134|0|2004
71064900000|221|0|2004
77560400002|165|0|2004
70136609995|525|0|2004
77056000000|780|0|2004
10000013044|3648|0|2004
77615900001|222|0|2004
20001088890|7583|0|2004
77491400005|271|0|2004
20003177332|358|0|2004
40391856165|1328|0|2004
30000018243|608|0|2004
30000032489|299|0|2004
50000024694|114|0|2004
77354100002|695|0|2004
358-0834754|391|0|2004
30000019581|221|0|2004
71497600006|122|0|2004
71463600006|407|0|2004
71863600000|225|0|2004
30000026870|430|0|2004
77568500004|230|0|2004
40000008109|585|0|2004
77776600008|535|0|2004
77499100008|5609|0|2004
77248700009|254|0|2004
71194900009|384|0|2004
77069800005|283|0|2004
10000013681|957|0|2004
77667200009|280|0|2004
174-2585982|211|0|2004
20001687453|110|0|2004
10000014362|136|0|2004
40000008551|5177|0|2004
71522600000|2319|0|2004
773-1545233|1234|0|2004
77554200008|289|0|2004
10000023849|245|0|2004
30000034234|433|0|2004
77927200007|1433|0|2004
71582200006|105|0|2004
71191300004|138|0|2004
40000007939|418|0|2004
71756700009|795|0|2004
30000027476|186|0|2004
40132999081|391|0|2004
77181200009|119|0|2004
40741878850|4250|0|2004
30000001479|116|0|2004
71679800001|563|0|2004
40000008876|104|0|2004
77152500000|149|0|2004
71056800004|141|0|2004
77586200005|297|0|2004
77487300009|110|0|2004
77509200009|252|0|2004
73833009998|606|0|2004
20002576572|5232|0|2004
77028500003|309|0|2004
73444109999|270|0|2004
40000008529|5129|0|2004
71283100000|202|0|2004
72179909994|686|0|2004
10000024533|143|0|2004
77281500005|168|0|2004
76430800000|146|0|2004
77409900001|133|0|2004
73027509990|2382|0|2004
71505700004|925|0|2004
40000001245|102|0|2004
77815800008|201|0|2004
30000028489|217|0|2004
77971200002|109|0|2004
40000014191|105|0|2004
77592700002|214|0|2004
74728209997|333|0|2004
71705700001|294|0|2004
134-1812174|155|0|2004
30000009576|605|0|2004
30000035362|397|0|2004
10000006680|245|0|2004
77692800007|113|0|2004
71728700007|173|0|2004
77597300000|2047|0|2004
30000005903|170|0|2004
77257500009|921|0|2004
77304100009|241|0|2004
77545800001|147|0|2004
10000024469|861|0|2004
71683500009|129|0|2004
70543609999|1014|0|2004
77442300004|325|0|2004
77250500004|627|0|2004
77127800003|123|0|2004
30000018297|100|0|2004
50000024692|125|0|2004
71706800009|128|0|2004
71008300001|265|0|2004
71693600008|164|0|2004
20002635086|496|0|2004
40582449643|1205|0|2004
76426800000|3017|0|2004
74264609991|264|0|2004
30000035095|294|0|2004
77386700002|134|0|2004
20001097267|117|0|2004
77386000006|311|0|2004
77774500004|1681|0|2004
73028209994|1204|0|2004
71816100004|128|0|2004
77884700008|102|0|2004
77503100002|415|0|2004
40000015525|570|0|2004
72010300006|331|0|2004
75785809994|152|0|2004
77734800004|324|0|2004
10000001741|37796|0|2004
77332300002|100|0|2004
71662300004|196|0|2004
77185000002|303|0|2004
20001624252|883|0|2004
10000024444|218|0|2004
77659900002|160|0|2004
40000008412|3715|0|2004
10000013688|466|0|2004
77389300008|288|0|2004
73453209991|494|0|2004
30000031263|110|0|2004
77465600054|187|0|2004
71441500006|148|0|2004
77327200005|137|0|2004
71722400006|353|0|2004
154-1335249|621|0|2004
10000023117|182|0|2004
77087500006|754|0|2004
71300600004|524|0|2004
77632300003|1452|0|2004
77732200006|119|0|2004
77517300005|122|0|2004
761-1189425|109|0|2004
74263509992|148|0|2004
71704000009|277|0|2004
71395700000|184|0|2004
71643100002|123|0|2004
77844700005|456|0|2004
70546509997|790|0|2004
71614900001|152|0|2004
30000029546|121|0|2004
77840400007|221|0|2004
77493900007|118|0|2004
76444009997|515|0|2004
77110800000|155|0|2004
363-1113916|512|0|2004
20002023218|248|0|2004
75183509992|714|0|2004
40000000257|310|0|2004
71052700008|181|0|2004
77428900001|1197|0|2004
136-3744610|764|0|2004
765-0693582|242|0|2004
40660577484|177|0|2004
40000000887|166|0|2004
72122400001|213|0|2004
20001194951|596|0|2004
30000031286|315|0|2004
77697500006|740|0|2004
71371500007|209|0|2004
77855000003|145|0|2004
40593151342|3592|0|2004
40000008173|126|0|2004
72483809994|301|0|2004
77218600003|450|0|2004
20000659855|276|0|2004
71788100000|1393|0|2004
77767800008|159|0|2004
77450800004|191|0|2004
77426000000|181|0|2004
71198400001|312|0|2004
77053700008|283|0|2004
77398600002|105|0|2004
30000035139|157|0|2004
77364500001|353|0|2004
77979400002|6400|0|2004
79406900007|142|0|2004
20001072246|7440|0|2004
77764500006|131|0|2004
71141600006|438|0|2004
138-3233494|298|0|2004
10000015801|246|0|2004
77765600003|322|0|2004
358-2551497|120|0|2004
77143200009|327|0|2004
77253300001|507|0|2004
77022100001|309|0|2004
77671300004|124|0|2004
30000034970|240|0|2004
20000461870|327|0|2004
40911168981|212|0|2004
77918100004|134|0|2004
30000012433|136|0|2004
76478809997|286|0|2004
20003104972|323|0|2004
40521440906|258|0|2004
10000024340|219|0|2004
20000933975|338|0|2004
40000001156|167|0|2004
343-1852041|120|0|2004
71336300004|325|0|2004
71935300001|111|0|2004
77669000006|308|0|2004
40000002098|184|0|2004
20003211759|319|0|2004
20002485571|1997|0|2004
73032309995|175|0|2004
